Customer_Name,Age,Gender,City,Account_Type,Transaction_ID,Transaction_Date,Transaction_Type,Amount,Balance_After,Channel,Fraud_Flag,Bank_Fee
William Wilson,,Male,Ibadan,Credit,TXN1234,2/12/2024,Transfer,636.68,781.36,POS,No,18.63
Mary Johnson,60,Male,Abuja,Savings,TXN1235,2/19/2024,Deposit,1867.19,1416.15,Mobile App,No,1.59
William Wilson,45,Female,Ibadan,Credit,TXN1236,4/29/2024,Deposit,869.92,2681.86,Mobile App,No,17.75
Linda Miller,37,Female,Lagos,Savings,TXN1237,4/21/2024,Transfer,29.89,2629.86,Mobile App,No,16.33
Mary Johnson,19,Female,Ibadan,Savings,TXN1238,11/3/2024,Transfer,36.01,-471.99,Web,No,7.41
Linda Miller,,Male,Abuja,Current,TXN1239,3/13/2024,Withdrawal,198.68,2069.79,POS,No,17.48
Mary Johnson,63,Female,Port Harcourt,Savings,TXN1240,1/6/2024,Deposit,1717.27,2114.55,Mobile App,No,13.12
Michael Davis,38,Male,Port Harcourt,Savings,TXN1241,4/2/2024,Transfer,206.17,3090.81,Mobile App,No,5.92
Jennifer Anderson,,Male,Abuja,Savings,TXN1242,4/7/2024,Deposit,912.08,2253.06,Web,No,9.96
Linda Miller,32,Male,Lagos,Current,TXN1243,2/25/2024,Payment,360.47,963.22,Mobile App,No,4.72
Mary Johnson,,Male,Ibadan,Savings,TXN1244,3/14/2024,Deposit,248.54,-281.94,Web,No,9.89
James Robert,,Female,Port Harcourt,Savings,TXN1245,4/25/2024,Withdrawal,513.91,-213.99,ATM,No,12.42
James Robert,,Male,Abuja,Savings,TXN1246,1/30/2024,Payment,737.33,1398.04,Web,No,2.09
John Williams,54,Male,Port Harcourt,Current,TXN1247,2/25/2024,Payment,1349.46,2118.87,Web,No,1.36
Michael Davis,57,Male,Port Harcourt,Credit,TXN1248,1/17/2024,Transfer,1080.91,4225.29,ATM,No,1.85
Michael Davis,,Female,Ibadan,Credit,TXN1249,2/16/2024,Deposit,525.05,2763.46,ATM,No,8.46
David Taylor,28,Female,Ibadan,Current,TXN1250,11/3/2024,Deposit,1293.99,904.66,Mobile App,No,9.69
Linda Miller,,Male,Ibadan,Current,TXN1251,1/23/2024,Withdrawal,1811.57,984.65,Mobile App,No,3.08
Linda Miller,,Female,Abuja,Credit,TXN1252,3/2/2024,Transfer,798.06,3305.28,Web,No,14.61
John Williams,20,Male,Abuja,Credit,TXN1253,2/29/2024,Withdrawal,913.91,2252.42,Web,No,13.80
William Wilson,40,Male,Lagos,Current,TXN1254,5/2/2024,Withdrawal,452.49,560.80,ATM,No,16.33
Mary Johnson,49,Female,Abuja,Credit,TXN1255,4/7/2024,Transfer,1866.67,791.44,Mobile App,No,12.37
David Taylor,,Male,Ibadan,Current,TXN1256,2/1/2024,Deposit,302.60,1667.93,Web,No,15.26
James Robert,,Male,Ibadan,Credit,TXN1257,1/19/2024,Deposit,1859.78,975.35,Web,No,17.74
William Wilson,,Male,Abuja,Savings,TXN1258,4/14/2024,Payment,1436.95,3458.27,POS,No,3.09
Elizabeth Moore,,Female,Abuja,Credit,TXN1259,1/22/2024,Deposit,883.93,1017.70,POS,No,14.59
Jennifer Anderson,60,Female,Ibadan,Credit,TXN1260,2/13/2024,Withdrawal,367.76,2743.67,Web,No,6.23
John Williams,65,Female,Lagos,Current,TXN1261,2/18/2024,Transfer,218.25,1088.33,Web,No,11.65
Michael Davis,21,Male,Ibadan,Savings,TXN1262,11/4/2024,Withdrawal,1657.87,1679.67,ATM,No,16.03
Jennifer Anderson,28,Female,Ibadan,Savings,TXN1263,3/17/2024,Withdrawal,585.85,227.93,ATM,No,14.21
Jennifer Anderson,20,Female,Port Harcourt,Savings,TXN1264,1/17/2024,Payment,569.96,880.77,POS,No,7.22
James Robert,47,Male,Port Harcourt,Credit,TXN1265,1/19/2024,Withdrawal,1866.13,918.22,ATM,No,3.81
Patricia Brown,,Female,Ibadan,Current,TXN1266,5/1/2024,Transfer,1682.91,4116.05,ATM,No,18.02
David Taylor,,Female,Ibadan,Current,TXN1267,3/14/2024,Transfer,470.70,3950.79,Mobile App,No,1.19
David Taylor,,Female,Abuja,Current,TXN1268,3/15/2024,Transfer,378.45,3580.12,ATM,No,14.02
David Taylor,20,Male,Ibadan,Savings,TXN1269,3/25/2024,Transfer,149.71,1459.90,Mobile App,No,4.25
David Taylor,40,Female,Lagos,Current,TXN1270,2/22/2024,Payment,1033.27,3663.35,Web,No,16.96
Michael Davis,58,Female,Port Harcourt,Current,TXN1271,1/1/2024,Payment,615.10,3670.74,Web,No,9.70
Patricia Brown,24,Female,Ibadan,Current,TXN1272,4/29/2024,Payment,1923.34,2364.33,ATM,No,14.65
James Robert,60,Female,Ibadan,Current,TXN1273,1/25/2024,Payment,749.60,4335.92,Web,No,8.61
Michael Davis,32,Female,Ibadan,Credit,TXN1274,1/15/2024,Payment,1068.30,14.39,ATM,No,6.45
Mary Johnson,,Male,Abuja,Savings,TXN1275,5/1/2024,Deposit,286.47,2719.31,Mobile App,No,18.66
William Wilson,25,Male,Abuja,Current,TXN1276,8/1/2024,Transfer,1861.40,740.71,Mobile App,No,4.30
William Wilson,27,Male,Abuja,Credit,TXN1277,12/4/2024,Payment,57.33,1317.55,Web,No,9.53
James Robert,,Male,Ibadan,Credit,TXN1278,2/4/2024,Withdrawal,1194.61,3513.99,Mobile App,No,3.03
Mary Johnson,,Female,Ibadan,Credit,TXN1279,3/29/2024,Transfer,1495.94,4133.56,ATM,No,15.74
Elizabeth Moore,,Female,Ibadan,Current,TXN1280,2/27/2024,Deposit,1896.89,4444.94,Web,No,3.75
John Williams,34,Female,Abuja,Savings,TXN1281,2/3/2024,Transfer,193.18,952.95,Mobile App,No,10.44
Mary Johnson,,Male,Ibadan,Credit,TXN1282,4/25/2024,Transfer,228.46,2083.95,ATM,No,12.46
Mary Johnson,26,Male,Abuja,Savings,TXN1283,4/16/2024,Withdrawal,279.75,1053.56,ATM,No,14.01
Jennifer Anderson,,Female,Abuja,Savings,TXN1284,1/3/2024,Transfer,1074.44,79.50,POS,No,8.00
Mary Johnson,24,Female,Abuja,Savings,TXN1285,7/1/2024,Withdrawal,762.64,1663.58,POS,No,8.56
Jennifer Anderson,,Male,Port Harcourt,Current,TXN1286,1/29/2024,Payment,1161.36,2617.45,Web,No,4.84
Michael Davis,,Male,Ibadan,Savings,TXN1287,1/22/2024,Payment,487.37,-57.38,Web,Yes,6.76
James Robert,58,Male,Abuja,Credit,TXN1288,4/30/2024,Payment,1025.99,1244.37,ATM,No,6.52
Elizabeth Moore,,Male,Ibadan,Savings,TXN1289,1/21/2024,Withdrawal,168.63,1149.85,Web,No,16.81
Linda Miller,23,Male,Lagos,Credit,TXN1290,3/23/2024,Deposit,333.40,428.31,Web,No,13.30
Mary Johnson,30,Male,Ibadan,Current,TXN1291,2/16/2024,Transfer,1384.70,735.05,Mobile App,No,2.06
James Robert,64,Female,Abuja,Credit,TXN1292,4/30/2024,Deposit,1385.20,191.23,POS,No,17.81
Michael Davis,53,Male,Abuja,Savings,TXN1293,1/25/2024,Payment,1010.55,2805.62,ATM,No,12.43
David Taylor,,Male,Port Harcourt,Credit,TXN1294,3/22/2024,Deposit,1902.22,4345.74,ATM,No,6.92
James Robert,,Female,Lagos,Current,TXN1295,12/4/2024,Payment,696.12,1123.41,POS,Yes,2.61
William Wilson,27,Female,Port Harcourt,Current,TXN1296,2/27/2024,Transfer,703.82,-373.58,Web,No,9.95
William Wilson,,Female,Ibadan,Savings,TXN1297,4/14/2024,Deposit,1591.28,327.07,Web,Yes,11.15
Jennifer Anderson,,Male,Abuja,Current,TXN1298,1/21/2024,Payment,360.21,2144.45,Web,No,17.04
John Williams,24,Male,Lagos,Credit,TXN1299,6/1/2024,Deposit,1299.90,416.49,Web,No,14.17
